wordpilot_id	english	turkish_gloss_used	freedict_source_row	original_source_line
2001	film	film; sinema filmi	11521	zar; ince örtü, ince tabaka; ince tel, lif;  zar veya ince bir örtü ile kaplamak; zar bağlamak. filminess  zarla veya ince bir tabaka ile kaplı olma. filmy  zarlı, ince bir tabaka ile kaplı.
2002	player	oyuncu	23419	oyuncu; aktör; çalgı çalan kimse, çalgıcı; eğlence ile vakit geçiren kimse; kumarbaz; (ing), (spor) profesyonel oyuncu; müzik aletini çalmak için kullanılan otomatik cihaz. player piano otomatik tertibatı bulunan piyano.
2003	mom	anne	19844	(k. dili) anne.
2004	income	gelir; kazanç	15520	gelir, kazanç, irat; biyo. vücuda giren gıda. income tax gelir vergisi. gross income brüt gelir, gayri safi gelir net. income net gelir, safi gelir.
2005	majority	çoğunluk	18574	ekseriyet, çoğunluk; oy çoğunluğu; rüşt, erginlik, reşitlik. absolute majority salt çoğunluk.
2006	overall	genel; bütünüyle	21712	baştan başa olan, bir uçtan bir uca olan; kapsayıcı, ayrıntılı;  (İng.) iş tulumu.
2007	owner	sahip; mal sahibi	21857	sahip mal sahibi. ownership  mülkiyet, sahiplik. owneroccupied  ing sahibinin oturduğu (ev, apartman)
2008	mid	orta, ortadaki	19397	orta, ortadaki.
2009	edition	baskı; sürüm	9760	baskı, tabı, bir kitabın bir defada basılması veya basılma sekli; bir kitabın bir defada basılan nüshalarının sayısı,tiraj .de luxe edition lüks baskı. first edition ilk baskı .
2010	festival	bayram, yortu	11407	bayram, yortu; festival, şenlik.
2011	historical	tarihsel; tarihi	14498	tarihsel, tarihi, tarihe geçmiş; tarihe uygun. historical novel tarihi roman. historically  tarihe göre, tarihi olarak.
2012	platform	platform; dijital ortam	23398	platform, yüksekçe yer, kürsü; peron; tramvay sahanlığı; bir siyasi partinin resmen kabul ettiği prensipler, parti programı; plan, tasarı. platform car açık yük vagonu.
2013	italy	alya	16518	(İt.)alya.
2014	korea	Kore	17193	Kore. Korean  Koreli; Korece; Koreyle ilgili.
2015	numerous	çok, sayısı çok, pek sok, birşok, sayısız	20995	çok, sayısı çok, pek sok, birşok, sayısız.
2016	distribution	dağıtım, tevzi, dağıtma	9096	dağıtım, tevzi, dağıtma; bölme, taksim; tertip, tanzim; dağılma, yayılma.
2017	coverage	kapsam; kapsama alanı	7309	(sig.)orta miktarı ve cinsi; (gazet.) olay veya konunun takip edilmesi ve yazılması.
2018	selection	seçim; seçme	27777	ayırma, ayrılma seçme seçilme: seçme şeyler; (biyol.) sağlam veya kuvvetlileri yaşatıp zayıfları imha eden tabiat kanunu.
2019	conservative	muhafazakâr; temkinli	6737	tutucu, muhafazakâr; ıIımlı, mutedil;  tutucu kimse; koruyucu madde. Conservative  (ingilterede) Muhafazakar Parti üyesi.
2020	bomb	bomba	3463	bomba; aerosol bombası; (jeol.) yanardağın dışarı püskürttüğü küre veya elips şeklindeki lav kümesi;  bombardıman etmek, bombalamak; bomba patlatmak. bomb bay (ask.) uçakta bombanın atıldığı bölüm.
2021	reserve	ayırtmak; yedek	26109	ihtiyaten saklamak, ilerisi için saklamak; hakkını muhafaza etmek.
2022	statistics	istatistik	30085	istatistik, istatistik ilmi. statistic(al)  istatistiğe ait. statistician  istatistik uzmanı.
2023	corporation	şirket; tüzel kuruluş	7095	anonim şirket, tüzel kişi; (k.dili) şişko göbek.
2024	gender	cinsiyet	12759	(gram.) ismin cinsi, cinsiyet. common gender her iki cins için ortak olan kelime. feminine gender (dişil.), müennes. masculine gender (eril.), müzekker. neuter gender camit, cansız, nötr.
2025	rural	kırsal	26822	kırsal, köye ait; köy hayatına ait; çiftçilikle ilgili, tarımsal, zirai. ruralist  köy veya kır hayatı yaşayan kimse; kır hayatını tavsiye eden kimse.
2026	category	kategori; sınıf	4953	kategori, bölüm, sınıf, tabaka, zümre. categor'ical  kategorik, kesin, kati. categor'ically  kategorik olarak.
2027	lane	dar yol, dar sokak, dar geçit	17386	dar yol, dar sokak, dar geçit; geniş caddelerde otomobiller için bazen bir çizgi ile ayrılmış ve yanyana olan yollardan biri; deniz ve hava trafiği düzeni için tayin olunmuş yollardan biri.
2028	opposition	muhalefet	21413	muhalefet; karşıtlık, zıtlık; mücadele; karşı durma, karşı koyma: engel olma; (pol.) muhalif parti; (astr.) birbinden 180 derece uzaklıkta olan iki gökcisminin durumu. oppositionist  muhalefetçi, muhalif partiden biri.
2029	transportation	ulaşım; taşıma	32905	. nakil, yerden yere taşıma, münakalât, ulaştırma; nakil vasıtası; nakil vasıtası bileti; taşıt ücreti; sürgünlük cezası.
2030	weekly	haftalık	35645	haftalık;  haftada bir, her hafta;  haftalık yayın.
2031	constitution	anayasa	6785	anayasa; tüzük, nizamname; beden yapısı, bünye; huy, yaradılış, tıynet; yapı; bileşim, terkip.
2032	consumer	tüketici, müstehlik	6808	tüketici, müstehlik; sarfeden kimse. consumer goods tüketim maddeleri. consumers' cooperative tüketim kooperatifi.
2033	counter	karşıt şey	7219	karşıt şey; karşılık; karşılıklı vuruş;  ters, zıt, aksi; karşı, mukabil:  aksi yolda; tersine, aksine. go counter to, run counter to aykırı düşmek, uymamak; zıt gitmek.
2034	employment	istihdam; iş	10057	iş verme, istihdam; işi olma; iş, görev, vazife, hizmet, memuriyet, meşguliyet. employment agency iş bulma bürosu, iş ve işçi bulma kurumu.
2035	golf	golf oyunu	13138	golf oyunu;  golf oynamak. golf club golf değneği; golf kulübü. golfer  golf oyuncusu.
2036	premier	birinci, ilk	24094	birinci, ilk; baş, asıl;  başbakan. premiership başbakanlık.
